feature,importance
text_length,0.03475
word_but not,0.02785
sentiment_score,0.02728
word_nothing,0.02642
duration_min,0.02631
energy_x_stress,0.02073
stress_energy_gap,0.01908
char_on ,0.01436
sleep_hours,0.01435
word_lighter,0.01315
word_my,0.01243
previous_day_mood,0.01243
time_of_day,0.01211
char_me ,0.01205
word_more,0.01157
sleep_deficit,0.01127
char_ion,0.01125
reflection_quality,0.01033
char_ess,0.0101
stress_level,0.00979
word_much,0.0094
word_distracted,0.00931
char_ll ,0.00885
energy_level,0.00885
char_ i ,0.00793
